frame,image,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
13,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0013.png,2,443.75,364.0,402.0,338.0,470.0,323.0,485.0,389.0,418.0,406.0,True,-0.48258555377997675,0.00996459953280159,2.2913822182751855,2.34167046789011,-2.9834106285592203,0.3376444465513268,-0.5934367402612782,-2.945161290322581,0.0,2.2,0.0,0.5193548387096774,-0.7
13,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0013.png,5,343.25,90.5,323.0,76.0,356.0,72.0,363.0,105.0,331.0,109.0,True,-1.5675973841696924,-1.4232734070614104,4.910752108219884,5.347761683030564,-2.7150936972269792,0.1774192396158505,-0.145405983014182,-2.945161290322581,0.0,2.2,0.0,0.5193548387096774,-0.7
14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0014.png,1,649.75,401.5,550.0,388.0,666.0,349.0,753.0,410.0,630.0,459.0,True,0.011365490111618314,0.04528284540437736,1.0843583829536751,1.085362986809161,2.0268988807661072,-0.6229887913580682,0.37163964356247037,-2.893548387096774,0.0,2.2,0.0,0.5258064516129032,-0.8
14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0014.png,2,365.0,379.0,320.0,354.0,391.0,335.0,409.0,403.0,340.0,424.0,True,-0.648768183505956,0.04500827705190211,2.198541948150076,2.292708572563973,-2.9071636093456235,0.3859023917289348,-0.8014140505171293,-2.893548387096774,0.0,2.2,0.0,0.5258064516129032,-0.8
14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0014.png,5,239.5,94.25,217.0,79.0,252.0,75.0,262.0,109.0,227.0,114.0,True,-1.9995806007179036,-1.3272350279101532,4.642724994011928,5.226353486715388,3.0993923539747836,-0.4263842912288048,0.9395844632063859,-2.893548387096774,0.0,2.2,0.0,0.5258064516129032,-0.8
15,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0015.png,1,597.75,416.0,493.0,407.0,610.0,359.0,705.0,419.0,583.0,479.0,True,-0.04730661310560228,0.05970902607889803,1.046672464394969,1.049440961255778,2.00861833835349,-0.7255575102776104,0.42517091398141116,-2.8419354838709676,0.0,2.2,0.0,0.532258064516129,-0.9
15,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0015.png,2,284.75,398.75,235.0,375.0,310.0,351.0,333.0,421.0,261.0,448.0,True,-0.7939944939582283,0.08676020534228084,2.0831433453723567,2.2310178813797417,-2.8444339900360998,0.46122105826232856,-0.9937215495792611,-2.8419354838709676,0.0,2.2,0.0,0.532258064516129,-0.9
15,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0015.png,5,128.0,101.0,102.0,86.0,141.0,80.0,154.0,116.0,115.0,122.0,True,-2.456575591348471,-1.242649561820712,4.461109828130166,5.242179171693949,3.3513198415007506,-0.4080701877726469,0.7695974634482404,-2.8419354838709676,0.0,2.2,0.0,0.532258064516129,-0.9
16,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0016.png,2,201.75,424.0,146.0,403.0,227.0,372.0,256.0,444.0,178.0,477.0,True,-0.9335466984193805,0.13663676651819778,1.9852140771815672,2.198011368563442,-2.782626324395851,0.5123111031768594,-1.002549054913623,-2.7903225806451615,0.0,2.2,0.0,0.5387096774193548,-1.0
16,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0016.png,1,549.5,433.25,439.0,432.0,556.0,372.0,661.0,428.0,542.0,501.0,True,-0.09762785860384061,0.0758296037719267,1.0077051820322536,1.0152591105124031,1.9698478670750232,-0.8447046756029195,0.47009364772649503,-2.7903225806451615,0.0,2.2,0.0,0.5387096774193548,-1.0
