image_path,observer_type,camera_name,frame_id,detection_mode,pass,marker_id,area_px2,center_u,center_v,accepted,reason
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0010.png,moving,moving_calib_camera,10,baseline,original,17,844.0,604.5,62.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0011.png,moving,moving_calib_camera,11,baseline,original,9,9772.0,1115.5,461.0,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0011.png,moving,moving_calib_camera,11,baseline,original,11,13120.0,602.25,612.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0011.png,moving,moving_calib_camera,11,baseline,original,12,10981.5,98.25,499.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0011.png,moving,moving_calib_camera,11,baseline,original,10,3433.5,485.75,328.0,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0011.png,moving,moving_calib_camera,11,baseline,original,16,849.5,988.25,172.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0011.png,moving,moving_calib_camera,11,baseline,original,0,687.5,1186.25,164.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0011.png,moving,moving_calib_camera,11,baseline,original,17,869.5,689.25,86.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0012.png,moving,moving_calib_camera,12,baseline,original,12,10908.0,151.0,517.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0012.png,moving,moving_calib_camera,12,baseline,original,10,3510.0,551.0,354.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0012.png,moving,moving_calib_camera,12,baseline,original,16,991.5,1090.75,202.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0012.png,moving,moving_calib_camera,12,baseline,original,17,927.5,772.75,111.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0013.png,moving,moving_calib_camera,13,baseline,original,12,10874.5,199.25,536.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0013.png,moving,moving_calib_camera,13,baseline,original,10,3595.5,612.75,382.5,True,original_pass
