stage,key,legacy_rows,wizard_rows,legacy_cols,wizard_cols,count_equal,blob_equal,legacy_blob_sha256,wizard_blob_sha256,detail
keypoints,frame_0038.png,931,931,6,6,True,True,b1a644e25cf22fba059e104dc96bf122bd6e359d19cb1302f3837188cd14748c,b1a644e25cf22fba059e104dc96bf122bd6e359d19cb1302f3837188cd14748c,per-image SQLite feature record compared by semantic image name
descriptors,frame_0038.png,931,931,128,128,True,True,7d75c080c78f6c2e3779206d8b81dee018e9869496f36effed9fb6558a26ee65,7d75c080c78f6c2e3779206d8b81dee018e9869496f36effed9fb6558a26ee65,per-image SQLite feature record compared by semantic image name
keypoints,frame_0039.png,1094,1094,6,6,True,True,9e28840feafaa2e50b5190e81c8c00d6137f88986e49a27fc9a2a71a77ef8608,9e28840feafaa2e50b5190e81c8c00d6137f88986e49a27fc9a2a71a77ef8608,per-image SQLite feature record compared by semantic image name
descriptors,frame_0039.png,1094,1094,128,128,True,False,82a332bc5bef9947c89b9300a3e7be7e8a8d9483ec0b3b18cc6bb69942426a55,7ab160fdf9fab3a5a4c9d14cda3700e8db52ef433052ba155606b6a6b252e597,per-image SQLite feature record compared by semantic image name
keypoints,frame_0040.png,1039,1039,6,6,True,True,a67ed6adef80f3e6c5ee79ea4356004d77166320d49ee482f10328d116e43497,a67ed6adef80f3e6c5ee79ea4356004d77166320d49ee482f10328d116e43497,per-image SQLite feature record compared by semantic image name
descriptors,frame_0040.png,1039,1039,128,128,True,True,4010b91183e70b26f6755fc29f14deaea6ba4328ccbbfdd012fe91d6a47cc9f2,4010b91183e70b26f6755fc29f14deaea6ba4328ccbbfdd012fe91d6a47cc9f2,per-image SQLite feature record compared by semantic image name
keypoints,frame_0041.png,941,941,6,6,True,True,23a67bbbe679ccd6b8fa11ec1acb8c3be354d35c7ade69fac57ed083e0f38fd5,23a67bbbe679ccd6b8fa11ec1acb8c3be354d35c7ade69fac57ed083e0f38fd5,per-image SQLite feature record compared by semantic image name
descriptors,frame_0041.png,941,941,128,128,True,False,b966102b72437f8755462a24619d8b851eab8ae01795c990c6be346af2cf8f68,faa21bd967f910946c1d9465270737ee94c66f064c352c90a6553e93b6f3015c,per-image SQLite feature record compared by semantic image name
keypoints,frame_0042.png,1095,1095,6,6,True,True,86f7c834d8b32f5c2e20465b332d2f20e679f29aaa9915ff0931956c6624abd2,86f7c834d8b32f5c2e20465b332d2f20e679f29aaa9915ff0931956c6624abd2,per-image SQLite feature record compared by semantic image name
descriptors,frame_0042.png,1095,1095,128,128,True,True,d64c5d438f5f5b194dc5a87df0ac79b00fc6a14fce67c224fcb819272c324b17,d64c5d438f5f5b194dc5a87df0ac79b00fc6a14fce67c224fcb819272c324b17,per-image SQLite feature record compared by semantic image name
keypoints,frame_0043.png,1066,1066,6,6,True,True,89a2aa3bcbc93896d811dd1785db25ce2938b1c7d15682faf07cb1de96c124e7,89a2aa3bcbc93896d811dd1785db25ce2938b1c7d15682faf07cb1de96c124e7,per-image SQLite feature record compared by semantic image name
descriptors,frame_0043.png,1066,1066,128,128,True,True,afa02a302ff6b0ae207230b29e6e221cf51ba4efcb92fbe610e4568789546abe,afa02a302ff6b0ae207230b29e6e221cf51ba4efcb92fbe610e4568789546abe,per-image SQLite feature record compared by semantic image name
keypoints,frame_0044.png,782,782,6,6,True,True,25a0b9613f0f2fd40d86b4b62d6451a77f131f0bae89b6e15cfda8477d24ab1b,25a0b9613f0f2fd40d86b4b62d6451a77f131f0bae89b6e15cfda8477d24ab1b,per-image SQLite feature record compared by semantic image name
descriptors,frame_0044.png,782,782,128,128,True,True,9e5cd23ac0fe6acf932dc4094ac0d16ac73f18f49e456c7efcd24f5cfc9005aa,9e5cd23ac0fe6acf932dc4094ac0d16ac73f18f49e456c7efcd24f5cfc9005aa,per-image SQLite feature record compared by semantic image name
keypoints,frame_0045.png,537,537,6,6,True,True,997932efd553e480256c984441665844e0668ce97d5617fcfd07b55187c9a71c,997932efd553e480256c984441665844e0668ce97d5617fcfd07b55187c9a71c,per-image SQLite feature record compared by semantic image name
descriptors,frame_0045.png,537,537,128,128,True,False,c67cc05d3464edcb38347b02d26e951f81da49ffa09869fbda535479c808097b,8bf0e2c49f8e45ec1e8b1a0beaf075f1dc3ad71916684866acd8badfa77d5d44,per-image SQLite feature record compared by semantic image name
