frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
86,1,12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0086.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0086_debug.png,2.333333333333333,0.0,2.2,0.0,0.39999999999999997,-6.9554568733333335
87,1,12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0087.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0087_debug.png,2.4523809523809526,0.0,2.2,0.0,0.41428571428571426,-7.051495668095239
88,1,12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0088.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0088_debug.png,2.571428571428571,0.0,2.2,0.0,0.42857142857142855,-7.147534462857143
89,1,12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0089.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0089_debug.png,2.6904761904761907,0.0,2.2,0.0,0.44285714285714284,-7.243573257619048
90,1,12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0090.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0090_debug.png,2.8095238095238093,0.0,2.2,0.0,0.45714285714285713,-7.339612052380953
91,1,12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0091.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0091_debug.png,2.9285714285714284,0.0,2.2,0.0,0.4714285714285714,-7.435650847142858
92,1,12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0092.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0092_debug.png,3.0476190476190474,0.0,2.2,0.0,0.4857142857142857,-7.531689641904762
93,1,12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0093.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0093_debug.png,3.1666666666666665,0.0,2.2,0.0,0.5,-7.627728436666667
94,1,12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0094.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0094_debug.png,3.2857142857142856,0.0,2.2,0.0,0.5142857142857142,-7.723767231428572
95,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0095.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0095_debug.png,3.4047619047619047,0.0,2.2,0.0,0.5285714285714285,-7.819806026190477
